CountryCode,CountryName,Región,GTCEcrono,GTCEenMx,GTCEmemberx2,GTCEmemberx3,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,GTCE14dummy,EGOVordx4original,EGOVordx16original,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadMenor,DensidadMayor,DensidadAlta_DUM,INCOMEx2,INCOMEx4,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,REGPOLx4,REGPOLx2,ECOMx2,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$
NZL1,New Zealand M1,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,13,6,1,2,2,1,1,2,2,1,1,4,1,1,1,1,0
NZL2,New Zealand M2,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,13,6,1,2,2,1,1,2,2,1,1,4,1,1,1,1,0
NZL3,New Zealand M3,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,13,6,1,2,2,1,1,2,2,1,1,4,1,1,1,1,0
NIC1,Nicaragua M1,5,1,0,1,1,0,1,1,2,1,1,3,9,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,11,4,1,2,1,1,0,2,2,1,1,2,0,0,1,1,0
NIC2,Nicaragua M2,5,1,1,1,1,0,1,1,2,1,1,3,9,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,11,4,1,2,1,1,0,2,2,1,1,2,0,0,1,1,0
NIC3,Nicaragua M3,5,1,1,1,1,0,1,1,2,1,1,3,9,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,11,4,1,2,1,1,0,2,2,1,1,2,0,0,1,1,0
NER1,Niger M1,4,3,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
NER2,Niger M2,4,3,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
NER3,Niger M3,4,3,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
NGA1,Nigeria M1,4,0,1,1,2,1,1,1,1,1,0,2,8,0,2,0,0,0,0,1,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
NGA2,Nigeria M2,4,0,1,1,2,1,1,1,1,1,0,2,8,0,2,0,0,0,0,1,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
NGA3,Nigeria M3,4,0,1,1,2,1,1,1,1,1,0,2,8,0,2,0,0,0,0,1,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
MKD1,North Macedonia M1,2,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,6,1,1,1,1,0,0,1,1,0,0,3,1,1,1,1,0
MKD2,North Macedonia M2,2,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,6,1,1,1,1,0,0,1,1,0,0,3,1,1,1,1,0
MKD3,North Macedonia M3,2,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,6,1,1,1,1,0,0,1,1,0,0,3,1,1,1,1,0
NOR1,Norway M1,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,32,5,1,2,2,1,1,2,3,1,1,4,1,1,1,1,0
NOR2,Norway M2,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,32,5,1,2,2,1,1,2,3,1,1,4,1,1,1,1,0
NOR3,Norway M3,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,32,5,1,2,2,1,1,2,3,1,1,4,1,1,1,1,0
OMN1,Oman M1,3,2,0,1,1,0,0,0,0,0,0,4,13,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,1,0,1,1,1,0
OMN2,Oman M2,3,2,0,1,1,0,0,0,0,0,0,4,13,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,1,0,1,1,1,0
OMN3,Oman M3,3,2,1,1,1,0,0,0,0,0,0,4,13,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,1,0,1,1,1,0
PAK1,Pakistan M1,1,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,2,1,0,1,0,0,0,2,10,0,0,0,1,1,0,0,2,0,1,2,0,0,1,1,0
PAK2,Pakistan M2,1,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,2,1,0,1,0,0,0,2,10,0,0,0,1,1,0,0,2,0,1,2,0,0,1,1,0
PAK3,Pakistan M3,1,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,2,1,0,1,0,0,0,2,10,0,0,0,1,1,0,0,2,0,1,2,0,0,1,1,0
PAN1,Panama M1,5,0,1,1,2,1,1,1,1,1,0,3,11,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,18,6,1,2,2,1,1,2,3,1,1,3,1,0,1,1,0
PAN2,Panama M2,5,0,1,1,2,1,1,1,1,1,0,3,11,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,18,6,1,2,2,1,1,2,3,1,1,3,1,0,1,1,0
PAN3,Panama M3,5,0,1,1,2,1,1,1,1,1,0,3,11,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,18,6,1,2,2,1,1,2,3,1,1,3,1,0,1,1,0
PNG1,Papua New Guinea M1,7,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0, , , , , , , , ,0,2,6,0,0,0,1,0,0,0,1,0,0,2,0, , ,1,0
PNG2,Papua New Guinea M2,7,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0, , , , , , , , ,0,2,6,0,0,0,1,0,0,0,1,0,0,2,0, , ,1,0
PNG3,Papua New Guinea M3,7,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0, , , , , , , , ,0,2,6,0,0,0,1,0,0,0,1,0,0,2,0, , ,1,0
PRY1,Paraguay M1,5,0,1,1,2,1,1,1,1,1,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,1,3,8,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
PRY2,Paraguay M2,5,0,1,1,2,1,1,1,1,1,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,1,3,8,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
PRY3,Paraguay M3,5,0,1,1,2,1,1,1,1,1,0,3,10,0,1,1,0,0,0,2,2,1,0,1,0,0,1,3,8,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
PER1,Peru M1,5,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,2,1,0,1,0,0,1,3,20,10,1,2,2,1,1,3,3,1,1,3,1,0,1,0,0
PER2,Peru M2,5,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,2,1,0,1,0,0,1,3,20,10,1,2,2,1,1,3,3,1,1,3,1,0,1,0,0
PER3,Peru M3,5,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,2,1,0,1,0,0,1,3,20,10,1,2,2,1,1,3,3,1,1,3,1,0,1,0,0
PHL1,Philippines M1,7,2,0,1,1,0,0,1,2,2,1,3,11,1,1,2,0,1,0,1,2,1,0,1,0,0,0,2,11,2,1,1,1,1,0,1,2,0,1,3,1,0,1,1,0
PHL2,Philippines M2,7,2,0,1,1,0,0,1,2,2,1,3,11,1,1,2,0,1,0,1,2,1,0,1,0,0,0,2,11,2,1,1,1,1,0,1,2,0,1,3,1,0,1,1,0
PHL3,Philippines M3,7,2,1,1,1,0,0,1,2,2,1,3,11,1,1,2,0,1,0,1,2,1,0,1,0,0,0,2,11,2,1,1,1,1,0,1,2,0,1,3,1,0,1,1,0
POL1,Poland M1,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
POL2,Poland M2,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
POL3,Poland M3,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
PRT1,Portugal M1,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
PRT2,Portugal M2,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
PRT3,Portugal M3,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
QAT1,Qatar M1,3,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
QAT2,Qatar M2,3,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
QAT3,Qatar M3,3,0,1,1,2,1,1,1,1,1,0,3,12,1,1,2,0,1,0,2,3,0,1,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
ROU1,Romania M1,2,0,1,1,2,1,1,1,1,1,0,4,13,1,1,2,0,1,1,3,4,0,0,0,1,1,1,3,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
ROU2,Romania M2,2,0,1,1,2,1,1,1,1,1,0,4,13,1,1,2,0,1,1,3,4,0,0,0,1,1,1,3,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
ROU3,Romania M3,2,0,1,1,2,1,1,1,1,1,0,4,13,1,1,2,0,1,1,3,4,0,0,0,1,1,1,3,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
RUS1,Russian Federation M1,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,3,0,1,0,1,0,1,3,12,3,1,1,1,1,0,2,2,1,1,2,0,1,1,1,0
RUS2,Russian Federation M2,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,3,0,1,0,1,0,1,3,12,3,1,1,1,1,0,2,2,1,1,2,0,1,1,1,0
RUS3,Russian Federation M3,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,3,0,1,0,1,0,1,3,12,3,1,1,1,1,0,2,2,1,1,2,0,1,1,1,0
RWA1,Rwanda M1,4,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
RWA2,Rwanda M2,4,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
RWA3,Rwanda M3,4,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
WSM1,Samoa M1,7,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0, , , , , , , , ,0,2,5,0,0,0,1,0,0,0,1,0,0,0, , , ,1,0
WSM2,Samoa M2,7,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0, , , , , , , , ,0,2,5,0,0,0,1,0,0,0,1,0,0,0, , , ,1,0
WSM3,Samoa M3,7,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0, , , , , , , , ,0,2,5,0,0,0,1,0,0,0,1,0,0,0, , , ,1,0
SAU1,Saudi Arabia M1,3,3,0,0,0,0,0,0,0,0,0,4,14,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
SAU2,Saudi Arabia M2,3,3,0,0,0,0,0,0,0,0,0,4,14,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
SAU3,Saudi Arabia M3,3,3,0,0,0,0,0,0,0,0,0,4,14,1,0,2,0,1,0,2,2,1,0,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
SEN1,Senegal M1,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
SEN2,Senegal M2,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
SEN3,Senegal M3,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
SYC1,Seychelles M1,4,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1, , , , , , , , ,1,4,3,1,1,1,0,0,0,1,1,0,0,3,1, , ,1,0
SYC2,Seychelles M2,4,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1, , , , , , , , ,1,4,3,1,1,1,0,0,0,1,1,0,0,3,1, , ,1,0
SYC3,Seychelles M3,4,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1, , , , , , , , ,1,4,3,1,1,1,0,0,0,1,1,0,0,3,1, , ,1,0
SLE1,Sierra Leone M1,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
SLE2,Sierra Leone M2,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
SLE3,Sierra Leone M3,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
SGP1,Singapore M1,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,27,17,1,2,2,1,1,3,3,1,1,2,0,1,1,0,0
SGP2,Singapore M2,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,27,17,1,2,2,1,1,3,3,1,1,2,0,1,1,0,0
SGP3,Singapore M3,7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,27,17,1,2,2,1,1,3,3,1,1,2,0,1,1,0,0
SVK1,Slovak Republic M1,2,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
SVK2,Slovak Republic M2,2,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
SVK3,Slovak Republic M3,2,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
SVN1,Slovenia M1,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
SVN2,Slovenia M2,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
SVN3,Slovenia M3,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
SLB1,Solomon Islands M1,7,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0, , , , , , , , ,0,2,6,0,0,0,1,0,0,0,1,0,0,3,1, , ,1,0
SLB2,Solomon Islands M2,7,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0, , , , , , , , ,0,2,6,0,0,0,1,0,0,0,1,0,0,3,1, , ,1,0
SLB3,Solomon Islands M3,7,3,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0, , , , , , , , ,0,2,6,0,0,0,1,0,0,0,1,0,0,3,1, , ,1,0
ZAF1,South Africa M1,4,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,1,3,4,0,0,0,1,1,1,3,7,0,0,0,1,1,0,0,2,0,1,3,1,1,1,1,1
ZAF2,South Africa M2,4,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,1,3,4,0,0,0,1,1,1,3,7,0,0,0,1,1,0,0,2,0,1,3,1,1,1,1,1
ZAF3,South Africa M3,4,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,1,3,4,0,0,0,1,1,1,3,7,0,0,0,1,1,0,0,2,0,1,3,1,1,1,1,1
ESP1,Spain M1,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
ESP2,Spain M2,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
ESP3,Spain M3,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
LKA1,Sri Lanka M1,1,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,0,2,6,0,0,0,1,0,0,0,1,0,0,3,1,0,1,1,0
LKA2,Sri Lanka M2,1,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,0,2,6,0,0,0,1,0,0,0,1,0,0,3,1,0,1,1,0
LKA3,Sri Lanka M3,1,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,0,2,6,0,0,0,1,0,0,0,1,0,0,3,1,0,1,1,0
KNA1,St. Kitts and Nevis M1,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
KNA2,St. Kitts and Nevis M2,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
KNA3,St. Kitts and Nevis M3,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,4,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
LCA1,St. Lucia M1,8,3,0,0,0,0,0,0,0,0,0,3,9,0,1,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
LCA2,St. Lucia M2,8,3,0,0,0,0,0,0,0,0,0,3,9,0,1,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
LCA3,St. Lucia M3,8,3,0,0,0,0,0,0,0,0,0,3,9,0,1,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
VCT1,St. Vincent and the Grenadines M1,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
VCT2,St. Vincent and the Grenadines M2,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
VCT3,St. Vincent and the Grenadines M3,8,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,0, , , ,1,0
SUR1,Suriname M1,8,3,0,0,0,0,0,0,0,0,0,3,9,0,2,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,3,1, , ,1,0
SUR2,Suriname M2,8,3,0,0,0,0,0,0,0,0,0,3,9,0,2,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,3,1, , ,1,0
SUR3,Suriname M3,8,3,0,0,0,0,0,0,0,0,0,3,9,0,2,1,0,0, , , , , , , , ,1,3,3,3,1,1,0,0,0,2,1,1,0,3,1, , ,1,0
SWE1,Sweden M1,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
SWE2,Sweden M2,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
SWE3,Sweden M3,2,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
SWI1,Switzerland M1,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,32,4,1,2,2,1,0,2,3,1,1,4,1,1,1,1,0
SWI2,Switzerland M2,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,32,4,1,2,2,1,0,2,3,1,1,4,1,1,1,1,0
SWI3,Switzerland M3,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,32,4,1,2,2,1,0,2,3,1,1,4,1,1,1,1,0
TWN1,"Taiwan, China M1",7,0,1,1,2,1,1,1,1,1,0, , , , , , , , , , , , , , , ,1,4,6,3,1,1,1,0,0,2,1,1,0,4,1, , ,1,0
TWN2,"Taiwan, China M2",7,0,1,1,2,1,1,1,1,1,0, , , , , , , , , , , , , , , ,1,4,6,3,1,1,1,0,0,2,1,1,0,4,1, , ,1,0
TWN3,"Taiwan, China M3",7,0,1,1,2,1,1,1,1,1,0, , , , , , , , , , , , , , , ,1,4,6,3,1,1,1,0,0,2,1,1,0,4,1, , ,1,0
TJK1,Tajikistan M1,2,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
TJK2,Tajikistan M2,2,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
TJK3,Tajikistan M3,2,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
TZA1,Tanzania M1,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,4,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
TZA2,Tanzania M2,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,4,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
TZA3,Tanzania M3,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,4,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0
THA1,Thailand M1,7,0,1,1,2,1,1,1,1,0,0,4,13,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,14,5,1,2,2,1,1,2,2,1,1,1,0,1,1,1,0
THA2,Thailand M2,7,0,1,1,2,1,1,1,1,0,0,4,13,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,14,5,1,2,2,1,1,2,2,1,1,1,0,1,1,1,0
THA3,Thailand M3,7,0,1,1,2,1,1,1,1,0,0,4,13,1,1,2,0,1,1,2,3,0,1,0,1,0,1,3,14,5,1,2,2,1,1,2,2,1,1,1,0,1,1,1,0
TGO1,Togo M1,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
TGO2,Togo M2,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
TGO3,Togo M3,4,3,0,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
TON1,Tonga M1,7,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,3,0,0,0,0,0,0,0,1,0,0,0, , , ,1,0
TON2,Tonga M2,7,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,3,0,0,0,0,0,0,0,1,0,0,0, , , ,1,0
TON3,Tonga M3,7,3,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,0, , , , , , , , ,1,3,3,0,0,0,0,0,0,0,1,0,0,0, , , ,1,0
TTO1,Trinidad and Tobago M1,8,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,3,1,1,1,1,0
TTO2,Trinidad and Tobago M2,8,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,3,1,1,1,1,0
TTO3,Trinidad and Tobago M3,8,3,0,0,0,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,1,4,4,3,1,1,1,0,0,2,1,1,0,3,1,1,1,1,0
TUN1,Tunisia M1,3,3,0,0,0,0,0,0,0,0,0,3,11,0,1,1,0,0,0,2,2,1,0,1,0,0,0,2,8,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
TUN2,Tunisia M2,3,3,0,0,0,0,0,0,0,0,0,3,11,0,1,1,0,0,0,2,2,1,0,1,0,0,0,2,8,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
