CountryCode,CountryName,Región,GTCEcrono,GTCEenMx,GTCEmemberx2,GTCEmemberx3,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,GTCE14dummy,EGOVordx4original,EGOVordx16original,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadMenor,DensidadMayor,DensidadAlta_DUM,INCOMEx2,INCOMEx4,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,REGPOLx4,REGPOLx2,ECOMx2,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$
KOR2,"Korea, Rep. M2",7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,3,0,1,0,1,0,1,4,20,11,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
KOR3,"Korea, Rep. M3",7,0,1,1,2,1,1,1,1,1,0,4,16,1,0,3,1,0,1,3,3,0,1,0,1,0,1,4,20,11,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
KWT1,Kuwait M1,3,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,0,2,3,0,1,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
KWT2,Kuwait M2,3,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,0,2,3,0,1,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
KWT3,Kuwait M3,3,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,0,2,3,0,1,1,0,0,1,4,3,2,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0
KGZ1,Kyrgyz Republic M1,2,2,0,1,1,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,0,2,10,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
KGZ2,Kyrgyz Republic M2,2,2,0,1,1,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,0,2,10,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
KGZ3,Kyrgyz Republic M3,2,2,1,1,1,0,0,0,0,0,0,3,11,1,1,2,0,1,0,2,2,1,0,1,0,0,0,2,10,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
LAO1,Lao PDR M1,7,0,1,1,2,1,1,1,1,1,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,9,1,1,1,1,1,0,1,2,0,1,1,0,0,1,1,0
LAO2,Lao PDR M2,7,0,1,1,2,1,1,1,1,1,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,9,1,1,1,1,1,0,1,2,0,1,1,0,0,1,1,0
LAO3,Lao PDR M3,7,0,1,1,2,1,1,1,1,1,0,2,6,0,2,0,0,0,0,1,1,0,0,1,0,0,0,2,9,1,1,1,1,1,0,1,2,0,1,1,0,0,1,1,0
LVA1,Latvia M1,2,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
LVA2,Latvia M2,2,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
LVA3,Latvia M3,2,0,1,1,2,1,1,1,1,1,0,4,13,1,0,2,0,1,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,4,1,1,1,0,0
LSO1,Lesotho M1,4,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,7,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
LSO2,Lesotho M2,4,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,7,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
LSO3,Lesotho M3,4,3,0,0,0,0,0,0,0,0,0,2,8,0,2,1,0,0,0,1,2,1,0,1,0,0,0,2,7,0,0,0,1,1,0,0,2,0,1,3,1,0,1,1,0
LBR1,Liberia M1,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
LBR2,Liberia M2,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
LBR3,Liberia M3,4,3,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0
LIE1,Liechtenstein M1,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0, , , , , , , , ,1,4,30,5,1,2,2,1,1,2,3,1,1,0, , , ,1,0
LIE2,Liechtenstein M2,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0, , , , , , , , ,1,4,30,5,1,2,2,1,1,2,3,1,1,0, , , ,1,0
LIE3,Liechtenstein M3,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0, , , , , , , , ,1,4,30,5,1,2,2,1,1,2,3,1,1,0, , , ,1,0
LTU1,Lithuania M1,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
LTU2,Lithuania M2,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
LTU3,Lithuania M3,2,0,1,1,2,1,1,1,1,1,0,4,15,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,3,1,1,1,0,0
LUX1,Luxembourg M1,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,0, ,1,1,0,0
LUX2,Luxembourg M2,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,0, ,1,1,0,0
LUX3,Luxembourg M3,2,0,1,1,2,1,1,1,1,1,0,4,14,1,0,3,1,0,1,3,4,0,0,0,1,1,1,4,46,17,1,2,2,1,1,3,3,1,1,0, ,1,1,0,0
MAC1,"Macao SAR, China M1",7,3,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , ,1,4,0,0,0,0,0,0,0,0,0,0,0,0, , , ,1,0
MAC2,"Macao SAR, China M2",7,3,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , ,1,4,0,0,0,0,0,0,0,0,0,0,0,0, , , ,1,0
